date,amount
2020-07-09,365
2020-07-10,221
2020-07-13,0
2020-07-14,118
2020-07-20,64
2020-07-21,3101
2020-07-22,47
2020-07-23,87
2020-07-24,1295
2020-07-27,169
2020-07-28,25
2020-07-29,20
2020-07-30,121
2020-07-31,46
2020-08-03,43
2020-08-04,0
2020-08-05,745
2020-08-06,24
2020-08-07,144
2020-08-10,148
2020-08-11,22
2020-08-12,123
2020-08-13,91
2020-08-14,0
2020-08-17,0
2020-08-18,113
2020-08-19,183
2020-08-20,11
2020-08-21,77
2020-08-24,741
2020-08-25,30
2020-08-26,365
2020-08-27,88
2020-08-28,671
2020-08-31,518
2020-09-01,45
2020-09-02,158
2020-09-03,18
2020-09-04,12
2020-09-07,11
2020-09-08,21
2020-09-09,24
2020-09-10,190
2020-09-11,35
2020-09-14,163
2020-09-15,34
2020-09-16,47
2020-09-17,51
2020-09-18,1268
2020-09-21,61
2020-09-22,0
2020-09-23,62
2020-09-24,15
2020-09-25,50
2020-09-28,0
2020-09-29,76
2020-09-30,14
2020-10-01,193
2020-10-02,1530
2020-10-05,24
2020-10-06,43
2020-10-07,103
2020-10-08,103
2020-10-09,76
2020-10-12,98
2020-10-13,13
2020-10-14,61
2020-10-15,39
2020-10-16,17
2020-10-19,32
2020-10-20,0
2020-10-21,53
2020-10-22,115
2020-10-23,1176
2020-10-26,1986
2020-10-27,505
2020-10-28,121
2020-10-29,25
2020-10-30,35
2020-11-02,27
2020-11-03,47
2020-11-04,35
2020-11-05,0
2020-11-06,92
2020-11-09,21
2020-11-10,67
2020-11-11,79
2020-11-12,1210
2020-11-13,21
2020-11-16,38
2020-11-17,0
2020-11-18,62
2020-11-19,74
2020-11-20,23
2020-11-23,11
2020-11-24,34
2020-11-25,53
2020-11-26,93
2020-11-27,3140
2020-11-30,1832
2020-12-01,550
2020-12-02,51
2020-12-03,87
2020-12-04,38
2020-12-07,0
2020-12-08,547
2020-12-09,94
2020-12-10,92
2020-12-11,33
2020-12-14,44
2020-12-15,163
2020-12-16,107
2020-12-17,12
2020-12-18,637
2020-12-21,2436
2020-12-22,10
2020-12-23,40
2020-12-28,359
2020-12-29,0
2021-01-04,0
2021-01-05,0
2021-01-06,40
2021-01-07,1605
2021-01-08,173
2021-01-11,842
2021-01-12,53
2021-01-13,49
2021-01-14,48
2021-01-15,38
2021-01-18,2372
2021-01-19,64
2021-01-20,50
2021-01-21,62
2021-01-22,80
2021-01-25,94
2021-01-26,10
2021-01-27,85
2021-01-28,106
2021-01-29,2822
2021-02-01,15
2021-02-02,47
2021-02-03,13
2021-02-04,683
2021-02-05,0
2021-02-08,35
2021-02-09,0
2021-02-10,128
2021-02-11,23
2021-02-12,48
2021-02-15,0
2021-02-16,12
2021-02-17,63
2021-02-18,98
2021-02-19,48
2021-02-22,4676
2021-02-23,0
2021-02-24,115
2021-02-25,57
2021-02-26,0
2021-03-01,54
2021-03-02,0
2021-03-03,3206
2021-03-04,523
2021-03-05,45
2021-03-08,2250
2021-03-09,0
2021-03-10,1350
2021-03-11,148
2021-03-12,140
2021-03-15,5243
2021-03-16,48
2021-03-17,80
2021-03-18,2489
2021-03-19,143
2021-03-22,46
2021-03-23,3310
2021-03-24,448
2021-03-25,900
2021-03-26,53
2021-03-27,0
2021-03-29,12
2021-03-30,1951
2021-03-31,57
2021-04-01,29
2021-04-06,0
2021-04-07,1861
2021-04-08,61
2021-04-09,138
2021-04-10,0
2021-04-12,116
2021-04-13,1167
2021-04-14,139
2021-04-15,210
2021-04-16,517
2021-04-19,51
2021-04-20,12
2021-04-22,34
2021-04-23,21
2021-04-26,121
2021-04-27,206
2021-04-28,1126
2021-04-29,2847
2021-04-30,712
2021-05-03,543
2021-05-04,22
2021-05-05,0
2021-05-06,66
2021-05-07,60
2021-05-10,194
2021-05-11,21
2021-05-12,62
2021-05-14,3379
2021-05-17,95
2021-05-18,62
2021-05-19,170
2021-05-20,105
2021-05-21,24
2021-05-25,0
2021-05-26,62
2021-05-27,299
2021-05-28,1323
2021-05-31,0
2021-06-01,34
2021-06-02,35
2021-06-03,155
2021-06-04,99
2021-06-07,3174
2021-06-08,1128
2021-06-09,105
2021-06-10,251
2021-06-11,49
2021-06-14,126
2021-06-15,97
2021-06-16,154
2021-06-17,319
2021-06-18,81
2021-06-21,82
2021-06-22,198
2021-06-23,312
2021-06-24,2492
2021-06-25,1663
2021-06-28,2874
2021-06-29,72
2021-07-01,61
2021-07-02,2492
2021-07-05,20
2021-07-06,87
2021-07-07,149
2021-07-08,423
2021-07-09,105
2021-07-12,68
2021-07-13,0
2021-07-14,14
2021-07-15,269
2021-07-16,49
2021-07-19,47
2021-07-20,28
2021-07-21,27
2021-07-22,207
2021-07-23,37
2021-07-26,466
2021-07-27,1148
2021-07-28,72
2021-07-29,68
2021-07-30,77
2021-08-02,37
2021-08-03,52
2021-08-04,121
2021-08-05,318
2021-08-06,124
2021-08-09,701
2021-08-10,25
2021-08-11,95
2021-08-12,47
2021-08-13,15
2021-08-16,14
2021-08-17,250
2021-08-18,101
2021-08-19,67
2021-08-20,42
2021-08-23,53
2021-08-24,0
2021-08-25,104
2021-08-26,148
2021-08-27,122
2021-08-30,77
2021-08-31,858
2021-09-01,146
2021-09-02,152
2021-09-03,26
2021-09-06,3361
2021-09-07,216
2021-09-08,25
2021-09-09,50
2021-09-10,56
2021-09-13,738
2021-09-14,13
2021-09-15,647
2021-09-16,320
2021-09-17,127
2021-09-20,0
2021-09-21,0
2021-09-22,123
2021-09-23,71
2021-09-24,68
2021-09-27,514
2021-09-28,415
2021-09-29,34
2021-09-30,20
2021-10-01,18
2021-10-04,0
2021-10-05,151
2021-10-06,52
2021-10-07,214
2021-10-08,0
2021-10-11,103
2021-10-12,27
2021-10-13,17
2021-10-14,9
2021-10-15,1063
2021-10-18,61
2021-10-19,0
2021-10-20,15
2021-10-21,146
2021-10-22,124
2021-10-25,227
2021-10-26,17
2021-10-27,32
2021-10-28,814
2021-10-29,692
2021-11-01,0
2021-11-02,18
2021-11-03,93
2021-11-04,3013
2021-11-05,11
2021-11-08,15
2021-11-09,583
2021-11-10,493
2021-11-11,221
2021-11-12,82
2021-11-15,2922
2021-11-16,473
2021-11-17,51
2021-11-18,125
2021-11-19,3367
2021-11-22,0
2021-11-23,32
2021-11-24,141
2021-11-25,700
2021-11-26,72
2021-11-29,37
2021-11-30,48
2021-12-01,46
2021-12-02,60
2021-12-03,404
2021-12-06,247
2021-12-07,12
2021-12-08,74
2021-12-09,44
2021-12-10,616
2021-12-13,176
2021-12-14,0
2021-12-15,60
2021-12-16,431
2021-12-17,60
2021-12-20,269
2021-12-21,1440
2021-12-22,70
2021-12-23,1201
2021-12-27,673
2021-12-28,71
2021-12-29,0
2022-01-04,0
2022-01-05,701
2022-01-06,100
2022-01-07,20
2022-01-10,104
2022-01-11,66
2022-01-12,49
2022-01-13,89
2022-01-14,61
2022-01-17,0
2022-01-18,62
2022-01-19,34
2022-01-20,76
2022-01-21,11
2022-01-24,148
2022-01-25,450
2022-01-26,70
2022-01-27,407
2022-01-28,511
2022-01-31,11
2022-02-01,20
2022-02-02,49
2022-02-03,41
2022-02-04,30
2022-02-07,215
2022-02-08,3267
2022-02-09,672
2022-02-10,158
2022-02-11,35
2022-02-14,178
2022-02-15,438
2022-02-16,43
2022-02-17,764
2022-02-18,0
2022-02-21,28
2022-02-22,106
2022-02-23,231
2022-02-24,2740
2022-02-25,112
2022-02-28,0
2022-03-01,30
2022-03-02,1367
2022-03-03,2893
2022-03-04,133
2022-03-07,121
2022-03-08,497
2022-03-09,144
2022-03-10,33
2022-03-11,972
2022-03-14,10
2022-03-15,110
2022-03-16,373
2022-03-17,124
2022-03-18,523
2022-03-21,88
2022-03-22,18
2022-03-23,199
2022-03-24,766
2022-03-25,1684
2022-03-28,0
2022-03-29,706
2022-03-30,139
2022-03-31,114
2022-04-01,156
2022-04-04,0
2022-04-05,29
2022-04-06,1075
2022-04-07,1500
2022-04-08,677
2022-04-13,596
2022-04-14,82
2022-04-19,954
2022-04-20,102
2022-04-21,271
2022-04-22,1207
2022-04-25,1297
2022-04-26,122
2022-04-27,134
2022-04-28,37
2022-04-29,154
2022-05-02,33
2022-05-03,26
2022-05-04,213
2022-05-05,89
2022-05-06,2933
2022-05-09,91
2022-05-10,1216
2022-05-11,874
2022-05-12,152
2022-05-13,296
2022-05-16,54
2022-05-17,65
2022-05-18,882
2022-05-19,121
2022-05-20,905
2022-05-23,30
2022-05-24,52
2022-05-25,1267
2022-05-27,664
2022-05-30,0
2022-05-31,4311
2022-06-01,2751
2022-06-02,493
2022-06-03,54
2022-06-07,29
2022-06-08,63
2022-06-09,672
2022-06-10,0
2022-06-13,162
2022-06-14,362
2022-06-15,0
2022-06-16,0
2022-06-17,14
2022-06-20,34
2022-06-21,32
2022-06-22,111
2022-06-23,60
2022-06-24,987
2022-06-27,2630
2022-06-28,1283
2022-06-30,165
2022-07-01,2568
2022-07-04,26
2022-07-05,503
2022-07-06,10
2022-07-07,47
2022-07-08,34
2022-07-11,16
2022-07-12,48
2022-07-13,0
2022-07-14,14
2022-07-15,29
2022-07-18,14
2022-07-19,37
2022-07-20,180
2022-07-21,46
2022-07-22,190
2022-07-25,10
2022-07-26,0
2022-07-27,16
2022-07-28,1136
2022-07-29,526
2022-08-01,42
2022-08-02,145
2022-08-03,53
2022-08-04,53
2022-08-05,40
2022-08-08,69
2022-08-09,1985
2022-08-10,47
2022-08-11,151
2022-08-12,89
2022-08-15,39
2022-08-16,26
2022-08-17,41
2022-08-18,35
2022-08-19,77
2022-08-22,62
2022-08-23,26
2022-08-24,474
2022-08-25,112
2022-08-26,39
2022-08-29,2448
2022-08-30,370
2022-08-31,52
2022-09-01,141
2022-09-02,16
2022-09-05,54
2022-09-06,29
2022-09-07,652
2022-09-08,108
2022-09-09,875
2022-09-12,17
2022-09-13,984
2022-09-14,128
2022-09-15,64
2022-09-16,85
2022-09-19,0
2022-09-20,139
2022-09-21,142
2022-09-22,66
2022-09-23,3149
2022-09-26,82
2022-09-27,35
2022-09-28,66
2022-09-29,59
2022-09-30,404
2022-10-04,85
2022-10-05,639
2022-10-06,29
2022-10-07,92
2022-10-10,33
2022-10-11,0
2022-10-12,13
2022-10-13,83
2022-10-14,10
2022-10-17,15
2022-10-18,54
2022-10-19,86
2022-10-20,28
2022-10-21,1970
2022-10-24,0
2022-10-25,440
2022-10-26,13
2022-10-27,33
2022-10-28,688
2022-11-01,13
2022-11-02,64
2022-11-03,31
2022-11-04,655
2022-11-07,0
2022-11-08,21
2022-11-09,10
2022-11-10,42
2022-11-11,1259
2022-11-14,68
2022-11-15,77
2022-11-16,27
2022-11-17,16
2022-11-18,27
2022-11-21,36
2022-11-22,603
2022-11-23,26
2022-11-24,28
2022-11-25,647
2022-11-28,22
2022-11-29,18
2022-11-30,51
2022-12-01,108
2022-12-02,701
2022-12-05,0
2022-12-06,101
2022-12-07,115
2022-12-08,44
2022-12-09,47
2022-12-12,26
2022-12-13,122
2022-12-15,2692
2022-12-16,2161
2022-12-19,665
2022-12-20,48
2022-12-21,150
2022-12-22,88
2022-12-23,22
2022-12-27,27
2023-01-03,98
2023-01-04,3021
2023-01-05,217
2023-01-06,28
2023-01-09,106
2023-01-10,63
2023-01-11,11
2023-01-12,45
2023-01-13,497
2023-01-16,53
2023-01-17,24
2023-01-18,84
2023-01-19,49
2023-01-20,12
2023-01-23,12
2023-01-24,88
2023-01-25,12
2023-01-26,111
2023-01-27,17
2023-01-30,69
2023-01-31,106
2023-02-01,185
2023-02-02,498
2023-02-03,546
2023-02-06,2384
2023-02-07,82
2023-02-08,67
2023-02-09,0
2023-02-10,33
2023-02-13,0
2023-02-14,24
2023-02-15,93
2023-02-16,15
2023-02-17,0
2023-02-20,33
2023-02-21,0
2023-02-22,530
2023-02-23,99
2023-02-24,387
2023-02-27,84
2023-02-28,3451
2023-03-01,2629
2023-03-02,121
2023-03-03,20
2023-03-06,11
2023-03-07,1113
2023-03-08,146
2023-03-09,0
2023-03-10,2151
2023-03-13,0
2023-03-14,401
2023-03-15,85
2023-03-16,88
2023-03-17,831
2023-03-20,38
2023-03-21,107
2023-03-22,471
2023-03-23,84
2023-03-24,79
2023-03-27,619
2023-03-28,1292
2023-03-29,144
2023-03-30,2288
2023-03-31,2310
2023-04-03,2406
2023-04-04,37
2023-04-05,1119
2023-04-11,1459
2023-04-13,563
2023-04-14,73
2023-04-17,1349
2023-04-18,0
2023-04-19,102
2023-04-20,338
2023-04-21,16
2023-04-24,474
2023-04-25,83
2023-04-26,0
2023-04-27,57
2023-04-28,157
2023-04-30,0
2023-05-03,2257
2023-05-04,156
2023-05-05,543
2023-05-08,3372
2023-05-09,34
2023-05-10,4111
2023-05-11,884
2023-05-12,795
2023-05-15,2990
2023-05-16,57
2023-05-17,24
2023-05-19,81
2023-05-22,58
2023-05-23,2395
2023-05-24,73
2023-05-25,252
2023-05-26,282
2023-05-30,72
2023-05-31,485
2023-06-01,2181
2023-06-02,125
2023-06-05,5111
2023-06-06,1256
2023-06-07,46
2023-06-08,75
2023-06-09,177
2023-06-12,1539
2023-06-13,3749
2023-06-14,176
2023-06-15,1960
2023-06-16,150
2023-06-19,164
2023-06-20,1916
2023-06-21,76
2023-06-22,86
2023-06-23,92
2023-06-27,91
2023-06-28,396
2023-06-29,31
2023-06-30,1001
2023-07-03,1340
2023-07-04,83
2023-07-05,124
2023-07-06,89
2023-07-07,19
2023-07-10,136
2023-07-11,787
2023-07-12,140
2023-07-13,58
2023-07-14,122
2023-07-17,2095
2023-07-18,188
2023-07-19,104
2023-07-20,33
2023-07-21,2266
2023-07-24,5356
2023-07-25,205
2023-07-26,122
2023-07-27,13
2023-07-28,167
2023-07-31,0
2023-08-01,446
2023-08-02,726
2023-08-03,19
2023-08-04,25
2023-08-07,1022
2023-08-08,25
2023-08-09,105
2023-08-10,79
2023-08-11,120
2023-08-14,672
2023-08-15,10
2023-08-16,0
2023-08-17,236
2023-08-18,3205
2023-08-21,573
2023-08-22,432
2023-08-23,119
2023-08-24,75
2023-08-25,5172
2023-08-28,0
2023-08-29,526
2023-08-30,3517
2023-08-31,20
2023-09-01,58
2023-09-04,3622
2023-09-05,134
2023-09-06,86
2023-09-07,85
2023-09-08,1630
2023-09-11,47
2023-09-12,126
2023-09-13,582
2023-09-14,77
2023-09-15,690
2023-09-18,1220
2023-09-19,67
2023-09-20,65
2023-09-21,5703
2023-09-22,92
2023-09-25,1264
2023-09-26,0
2023-09-27,54
2023-09-28,0
2023-09-29,478
2023-10-02,406
2023-10-04,27
2023-10-05,111
2023-10-06,84
2023-10-09,0
2023-10-10,550
2023-10-11,51
2023-10-12,52
2023-10-13,58
2023-10-16,0
2023-10-17,10
2023-10-18,640
2023-10-19,133
2023-10-20,81
2023-10-23,407
2023-10-24,547
2023-10-25,14
2023-10-26,1274
2023-10-27,25
2023-10-30,18
2023-10-31,0
2023-11-01,393
2023-11-02,244
2023-11-03,43
2023-11-06,50
2023-11-07,0
2023-11-08,18
2023-11-09,68
2023-11-10,410
2023-11-13,0
2023-11-14,13
2023-11-15,3259
2023-11-16,68
2023-11-17,70
2023-11-20,31
2023-11-21,444
2023-11-22,0
2023-11-23,622
2023-11-24,433
2023-11-27,0
2023-11-28,11
2023-11-29,79
2023-11-30,55
2023-12-01,126
2023-12-02,0
2023-12-04,15
2023-12-05,14
2023-12-06,40
2023-12-07,493
2023-12-08,71
2023-12-11,74
2023-12-12,183
2023-12-13,513
2023-12-14,41
2023-12-15,712
2023-12-18,1224
2023-12-19,0
2023-12-20,31
2023-12-21,73
2023-12-22,514
2023-12-27,438
2023-12-28,481
2024-01-03,0
2024-01-04,130
2024-01-05,1240
2024-01-06,0
2024-01-08,28
2024-01-09,525
2024-01-10,52
2024-01-11,86
2024-01-12,119
2024-01-15,450
2024-01-16,95
2024-01-17,0
2024-01-18,70
2024-01-19,399
2024-01-22,2362
2024-01-23,0
2024-01-24,0
2024-01-25,42
2024-01-26,152
2024-01-29,660
2024-01-30,0
2024-01-31,0
2024-02-01,3369
2024-02-02,132
2024-02-05,450
2024-02-06,18
2024-02-07,2798
2024-02-08,2588
2024-02-09,17
2024-02-12,81
2024-02-13,16
2024-02-14,28
2024-02-15,546
2024-02-16,2459
2024-02-19,939
2024-02-20,111
2024-02-21,162
2024-02-22,381
2024-02-23,92
2024-02-26,16
2024-02-27,0
2024-02-28,10
2024-02-29,669
2024-03-01,356
2024-03-04,80
2024-03-05,31
2024-03-06,2559
2024-03-07,58
2024-03-08,920
2024-03-11,781
2024-03-12,411
2024-03-13,195
2024-03-14,565
2024-03-15,730
2024-03-18,76
2024-03-19,135
2024-03-20,13
2024-03-21,879
2024-03-22,112
2024-03-25,620
2024-03-26,460
2024-03-27,2625
2024-03-28,1344
2024-04-02,548
2024-04-03,55
2024-04-04,1187
2024-04-08,45
2024-04-09,106
2024-04-10,1258
2024-04-11,176
2024-04-12,2425
2024-04-15,1204
2024-04-16,188
2024-04-17,399
2024-04-18,410
2024-04-19,129
2024-04-22,4750
2024-04-23,825
2024-04-24,127
2024-04-25,856
2024-04-26,2267
2024-04-29,625
2024-04-30,721
2024-05-02,0
2024-05-03,34
2024-05-06,110
2024-05-07,1464
2024-05-08,1519
2024-05-10,116
2024-05-13,21
2024-05-14,1948
2024-05-15,15
2024-05-16,327
2024-05-17,2942
2024-05-21,3999
2024-05-22,452
2024-05-23,130
2024-05-24,31
2024-05-25,16
2024-05-27,192
2024-05-28,1390
2024-05-29,941
2024-05-30,0
2024-05-31,30
2024-06-03,1274
2024-06-04,117
2024-06-05,15
2024-06-06,235
2024-06-07,0
2024-06-10,0
2024-06-11,111
2024-06-12,55
2024-06-13,71
2024-06-14,2481
2024-06-17,195
2024-06-18,58
2024-06-19,56
2024-06-20,120
2024-06-21,665
2024-06-24,1487
2024-06-25,721
2024-06-26,458
2024-06-27,106
2024-06-28,133
2024-07-01,2623
2024-07-02,95
2024-07-03,63
2024-07-04,157
2024-07-05,2374
2024-07-08,39
2024-07-09,2816
2024-07-10,1240
2024-07-11,55
2024-07-12,9
2024-07-16,87
2024-07-17,133
2024-07-18,104
2024-07-19,187
2024-07-22,1381
2024-07-23,402
2024-07-24,62
2024-07-25,566
2024-07-26,18
2024-07-29,38
2024-07-30,32
2024-07-31,35
2024-08-01,54
2024-08-02,148
2024-08-05,461
2024-08-06,35
2024-08-07,0
2024-08-08,0
2024-08-09,143
2024-08-12,715
2024-08-13,25
2024-08-14,172
2024-08-15,17
2024-08-16,1747
2024-08-17,0
2024-08-19,665
2024-08-20,61
2024-08-21,0
2024-08-22,546
2024-08-23,2958
2024-08-26,20
2024-08-27,609
2024-08-28,29
2024-08-29,519
2024-08-30,25
2024-08-31,35
2024-09-02,765
2024-09-03,72
2024-09-04,29
2024-09-05,779
2024-09-06,3381
2024-09-07,0
2024-09-09,15
2024-09-10,622
2024-09-11,61
2024-09-12,61
2024-09-13,88
2024-09-16,36
2024-09-17,701
2024-09-18,55
2024-09-19,469
2024-09-20,911
2024-09-23,37
2024-09-24,28
2024-09-25,0
2024-09-26,3212
2024-09-27,25
2024-09-30,26
2024-10-01,252
2024-10-02,315
2024-10-04,25
2024-10-07,554
2024-10-08,56
2024-10-09,23
2024-10-10,1378
2024-10-11,35
2024-10-14,53
2024-10-15,32
2024-10-16,95
2024-10-17,0
2024-10-18,20
2024-10-21,1962
2024-10-22,0
2024-10-23,1302
2024-10-24,492
2024-10-25,0
2024-10-28,25
2024-10-29,2603
2024-10-30,0
2024-10-31,0
2024-11-01,40
2024-11-04,0
2024-11-05,1362
2024-11-06,590
2024-11-07,2141
2024-11-08,38
2024-11-11,50
2024-11-12,17
2024-11-13,29
2024-11-14,916
2024-11-15,34
2024-11-18,0
2024-11-19,16
2024-11-20,0
2024-11-21,60
2024-11-22,60
2024-11-25,10
2024-11-26,681
2024-11-27,46
2024-11-28,87
2024-11-29,807
2024-12-02,29
2024-12-03,59
2024-12-04,0
2024-12-05,63
2024-12-06,443
2024-12-09,0
2024-12-10,30
2024-12-11,94
2024-12-12,25
2024-12-13,57
2024-12-16,701
2024-12-17,1281
2024-12-18,192
2024-12-19,37
2024-12-20,290
2024-12-23,544
2024-12-27,27
2025-01-07,0
2025-01-08,2619
2025-01-09,686
2025-01-10,42
2025-01-13,76
2025-01-14,2027
2025-01-15,726
2025-01-16,0
2025-01-17,68
2025-01-20,109
2025-01-21,202
2025-01-22,26
2025-01-23,45
2025-01-24,103
2025-01-27,2094
2025-01-28,45
2025-01-29,1190
2025-01-30,626
2025-01-31,252
2025-02-03,848
2025-02-04,32
2025-02-05,26
2025-02-06,73
2025-02-07,388
2025-02-10,66
2025-02-11,0
2025-02-12,0
2025-02-14,1342
2025-02-17,10
2025-02-18,48
2025-02-19,430
2025-02-20,1279
2025-02-21,2386
2025-02-24,51
2025-02-25,10
2025-02-26,552
2025-02-27,79
2025-02-28,676
2025-03-03,16
2025-03-04,3266
2025-03-05,36
2025-03-06,127
2025-03-07,1739
2025-03-10,53
2025-03-11,0
2025-03-12,10
2025-03-13,912
2025-03-14,126
2025-03-17,405
2025-03-18,2285
2025-03-19,31
2025-03-20,59
2025-03-21,746
2025-03-24,2026
2025-03-25,3578
2025-03-27,501
2025-03-28,177
2025-03-31,211
2025-04-01,3221
2025-04-02,20
2025-04-03,104
2025-04-04,35
2025-04-07,4000
2025-04-08,738
2025-04-09,442
2025-04-10,1137
2025-04-11,1698
2025-04-14,95
2025-04-15,42
2025-04-16,85
2025-04-17,41
2025-04-22,3216
2025-04-23,84
2025-04-24,817
2025-04-25,57
2025-04-28,901
2025-04-29,692
2025-04-30,3097
2025-05-02,768
2025-05-05,116
2025-05-06,42
2025-05-07,29
2025-05-08,1461
2025-05-09,162
2025-05-12,119
2025-05-13,125
2025-05-14,1070
2025-05-15,96
2025-05-16,2679
2025-05-19,1385
2025-05-20,60
2025-05-21,27
2025-05-22,112
2025-05-23,460
2025-05-26,18
2025-05-27,2789
2025-05-28,603
2025-05-30,472
2025-06-02,3719
2025-06-03,135
2025-06-04,87
2025-06-05,123
2025-06-06,56
2025-06-10,30
2025-06-11,249
2025-06-12,967
2025-06-13,53
2025-06-16,1337
2025-06-17,148
2025-06-18,794
2025-06-19,458
2025-06-20,105
2025-06-21,0
2025-06-23,1023
2025-06-24,0
2025-06-25,112
2025-06-26,72
2025-06-27,83
2025-06-30,4856
2025-07-01,949
2025-07-02,88
2025-07-03,37
2025-07-04,105
2025-07-07,3494
2025-07-08,17
2025-07-09,440
2025-07-10,202
2025-07-11,374
2025-07-14,1189
2025-07-15,41
2025-07-16,2432
2025-07-17,666
2025-07-18,390
2025-07-21,83
2025-07-22,37
2025-07-23,0
2025-07-24,288
2025-07-25,13
2025-07-28,14
2025-07-29,35
