date,mean_temp_nationwide,min_temp_nationwide,max_temp_nationwide,mean_precipitation_mm_nationwide,min_precipitation_mm_nationwide,max_precipitation_mm_nationwide,mean_sun_hours_nationwide,min_sun_hours_nationwide,max_sun_hours_nationwide
2020-05-08,15.09,11,17.7,0,0,0,11.61111111111111,8.3,13.7
2020-05-11,8.34,7.1,11.8,8.78,0,24.7,2.9333333333333336,0,7.4
2020-05-12,6.72,5.6,8.4,0.65,0,3.6,8.066666666666666,4.7,12.4
2020-05-13,8.39,7.1,10.6,1.98,0,11.9,4.122222222222222,0.1,6.6
2020-05-14,9.24,7.1,10.7,0.73,0,7.3,6.833333333333333,0,13.4
2020-05-15,9.74,7.2,12.1,0.24000000000000002,0,1.6,7.511111111111111,0.3,14.3
2020-05-18,15.41,13.8,17.2,0.06999999999999999,0,0.6,10.28888888888889,0.1,14.8
2020-05-19,16.55,13.9,19.5,0,0,0,8.933333333333334,2,13.2
2020-05-20,16.18,13.4,19.7,0,0,0,6.277777777777778,2.6,12.2
2020-05-22,18.47,15.7,20.6,2.82,0,9.3,3.811111111111111,0.2,9.1
2020-05-25,13.67,10.9,16.5,0.5,0,3.3,3.2333333333333334,0.4,5.8
2020-05-26,14.06,12.1,15.6,0,0,0,10.5,6.7,14.9
2020-05-27,15.68,14,18.1,0.6000000000000001,0,4.9,12.011111111111111,9.7,14.6
2020-05-28,14.59,12.6,17.4,0.1,0,0.6,10.444444444444445,3.1,15.2
2020-05-29,14.71,12.2,16.8,0,0,0,11.166666666666666,3.9,15.3
2020-06-02,19.33,15.9,21.5,0.45,0,4.5,13.933333333333334,10.5,14.9
2020-06-03,19.34,17.4,20.7,1.47,0,9,10.955555555555556,9,13.4
2020-06-04,15.3,13.6,18.4,5.64,2.1,11.5,1.7,0,6.7
2020-06-05,12.21,10.3,14.1,5.84,0.5,16.2,2.966666666666667,0.5,6.6
2020-06-08,14.47,12.8,17.3,1.7000000000000002,0,11.8,5.433333333333334,2.7,10.3
2020-06-09,14.64,12.6,18.1,1.92,0,8.1,3.033333333333333,0,6.8
2020-06-10,15.17,12.7,16.7,3.31,0,10.2,2.4,0,9
2020-06-11,15.71,13.3,17.6,1.07,0,5.9,2.1444444444444444,0,4.9
2020-06-12,19.93,18,21.3,0.51,0,4.9,10.755555555555555,5.6,15.7
2020-06-15,17.8,13.5,20.1,4.82,0,27.2,5.1,0,14.4
2020-06-16,18.240000000000002,15.3,21,2.15,0,9.6,6.6,1,15.2
2020-06-17,19.37,15.9,23.3,5.94,0,19.8,7.2,1.5,15
2020-06-18,18.48,16.2,22,0.64,0,2.4,5.911111111111111,0.6,11.1
2020-06-19,17.44,13.9,19.4,2.5,0,11.7,5.666666666666667,0,13.4
2020-06-22,19.38,17.6,20.9,0,0,0,10.055555555555555,5.3,13.9
2020-06-23,19.82,18.2,21.7,0,0,0,14.633333333333333,12.3,16
2020-06-24,20.740000000000002,17.3,23,0.24,0,2.4,13.422222222222222,6.3,16
2020-06-25,21.32,18,23.4,0.01,0,0.1,10.9,7.7,14.6
2020-06-26,22.29,19.7,24.8,2.4899999999999998,0,24.7,11.6,7.8,14.2
2020-06-29,17.86,17,19.6,1.7899999999999998,0,10.7,6.955555555555556,4.3,10.2
2020-06-30,18.16,15.3,20,0.8300000000000001,0,5.4,6.433333333333334,0,14.9
2020-07-02,18.66,15.9,21,6.33,0,17.5,4.211111111111111,1.4,7.2
2020-07-03,17.95,16.6,19.8,0.060000000000000005,0,0.4,6.611111111111111,3.4,11.6
2020-07-06,16.88,13.7,19.1,1,0,6.5,7.9222222222222225,4.9,9.2
2020-07-07,15.52,13.6,17.6,0.58,0,1.9,8.088888888888889,4.3,13.9
2020-07-08,15.629999999999999,13.3,19.7,2.58,0,8,2.966666666666667,0,12.1
2020-07-09,18.75,11.9,22.9,4.859999999999999,0,24.7,4.177777777777778,0,13.5
2020-07-10,18.86,12.8,23.6,5.79,0,36.7,5.622222222222223,1.6,12.8
2020-07-13,18.02,15.7,20.5,0,0,0,13.7,11.6,15.2
2020-07-14,18.56,15,21.9,2.45,0,6.9,7.988888888888889,1.3,14.1
2020-07-20,19.9,16.5,22.6,0.01,0,0.1,9.11111111111111,4.6,14.4
2020-07-21,18.06,14,20.8,0.86,0,7.3,10.8,7.7,13
2020-07-22,17.89,14.5,21.1,0.13999999999999999,0,1.4,10.877777777777778,6.1,14.8
2020-07-23,19.14,17.1,21.4,0,0,0,11.077777777777778,7.1,14.6
2020-07-24,20.2,17.9,23,0.16,0,0.6,6.022222222222222,2.7,8.9
2020-07-27,20.990000000000002,18,22.7,0.07,0,0.3,7.544444444444444,1.5,14.6
2020-07-28,22.16,18.1,24.8,0.43,0,2.6,7.722222222222222,5.2,11.6
2020-07-29,19.04,15.8,21.5,0.06999999999999999,0,0.7,10.011111111111111,1.9,14.6
2020-07-30,19.86,15.6,23.2,0,0,0,12.777777777777779,5.5,14.7
2020-07-31,23.11,18.5,26.5,0.02,0,0.2,14.055555555555555,11.9,14.7
2020-08-03,17.46,15.8,19.8,4.8,0,40.7,4.811111111111111,0,10
2020-08-04,16.76,13.5,19.8,1.07,0,10.3,6.211111111111111,0,11.5
2020-08-05,20.02,16.6,22.5,0,0,0,13.588888888888889,11.6,14.5
2020-08-06,22.81,19.5,25.5,0,0,0,14.144444444444444,13.8,14.4
2020-08-07,24.91,22,26.6,0,0,0,13.622222222222222,11.9,14.4
2020-08-10,25.23,21,27.5,1.99,0,18.7,10.188888888888888,0,13.7
2020-08-11,25.39,23.2,26.8,2.53,0,15.5,10.68888888888889,7.2,13.6
2020-08-12,25.03,22.7,26.5,4.95,0,48.7,11.011111111111111,4.6,13.8
2020-08-13,23.69,21.1,26,3.29,0,23.6,6.677777777777778,1.7,11.9
2020-08-14,22.57,20.8,24.5,2.57,0,12,5.4,1.6,10
2020-08-17,20.95,19.2,24.8,6.49,0,30.5,5.177777777777778,0,11.9
2020-08-18,19.72,18.5,21.2,6.38,0,14.3,5.688888888888889,2.7,7.7
2020-08-19,20.63,19.5,22.4,0.37,0,2.7,10.655555555555555,9.2,11.5
2020-08-20,23.84,22.9,25.9,0.3,0,1.3,6.266666666666667,2.6,10.3
2020-08-21,25.9,22.8,28.4,1.72,0,8.1,8,2.5,13.1
2020-08-24,17.02,14.6,18.8,1.22,0,10,3.9444444444444446,0.9,6
2020-08-25,17.84,15.4,19.3,1.16,0,6.8,5.911111111111111,1,10.4
2020-08-26,19.35,16.4,22.9,2.4899999999999998,0,8.7,4.222222222222222,0.2,12.6
2020-08-27,17.19,15.4,18.9,0.5700000000000001,0,2.1,6,2.3,10.8
2020-08-28,17.54,16.1,19.6,7.64,0,40.8,4.355555555555555,1.8,6.9
2020-08-31,15.64,13.9,17.3,2.15,0,16.5,3.066666666666667,0.9,6.3
2020-09-01,14.76,13.1,17.1,1.23,0,9.8,3.7222222222222223,0.3,11.7
2020-09-02,14.72,13.5,16.7,1.2,0,11.9,7.688888888888889,1.4,11.9
2020-09-03,15.66,13.3,17.7,4.15,0,13,5.633333333333334,0,9.8
2020-09-04,19.46,16.9,22.2,0.99,0,6.9,4.622222222222223,0.1,9.8
2020-09-07,14.58,13.4,16.4,0.03,0,0.3,7.822222222222222,0.8,11.6
2020-09-08,16.29,15.1,18.2,0,0,0,6.033333333333333,0.6,12.5
2020-09-09,18.22,17.1,20.1,0.56,0,1.8,6.533333333333333,0.1,12.6
2020-09-10,16.04,13.7,19.3,0.08,0,0.8,7.177777777777777,2.3,11.7
2020-09-11,16.55,14.5,19.3,0,0,0,8.78888888888889,5.9,11.1
2020-09-14,20.45,18.9,22.3,0,0,0,11.488888888888889,11,12
2020-09-15,21.85,20,24.1,0,0,0,11.244444444444445,10.6,12
2020-09-16,20.2,16.1,23.1,0,0,0,8.666666666666666,5.2,10.3
2020-09-17,15.72,11.5,19.1,0,0,0,9.044444444444444,4.5,11.3
2020-09-18,14.440000000000001,11.4,16.7,0,0,0,11.033333333333333,7.4,12
2020-09-21,16.4,14.7,18.3,0,0,0,11.233333333333333,11,11.8
2020-09-22,17.39,14.7,19,0.64,0,6.3,10.188888888888888,8.5,11.2
2020-09-23,17.63,15.5,20.4,2.1,0,8,5.377777777777778,1.1,9
2020-09-24,16.73,15.5,18.2,6.57,0,16.6,5.822222222222222,3.2,8.8
2020-09-25,11.93,9.3,13.7,5.66,0,27,2.1666666666666665,0,5.3
2020-09-28,11.11,8,13.9,0.33,0,1.2,2.988888888888889,0,9.3
2020-09-29,12.03,10.5,14.4,1.23,0,5.2,2.7777777777777777,0,6.5
2020-09-30,13.72,12.2,15.4,0.11000000000000001,0,1.1,5.188888888888889,0.1,10.5
2020-10-01,13.1,12,14.7,0.52,0,3.1,5.4222222222222225,0.4,9.4
2020-10-02,14.469999999999999,13.2,15.6,0.04,0,0.4,2.922222222222222,0.1,7.8
2020-10-05,11.61,11.1,12,3.37,0.2,9.9,1.5555555555555556,0,3.3
2020-10-06,12.27,11.6,13.1,3.17,0,12.1,1.488888888888889,0.4,2.9
2020-10-07,11.959999999999999,10.1,13.5,2.2,0.1,3.9,1.4777777777777779,0.3,3.1
2020-10-08,12.87,11.6,13.8,4.73,0,17.1,1.8777777777777778,0,6.5
2020-10-09,13.3,11.5,14.9,2.62,0,11.6,2.4555555555555557,0.1,8.3
2020-10-12,7.89,5,10.3,1.0899999999999999,0,3.3,1.5333333333333334,0.3,3.2
2020-10-13,7.59,5.7,9.2,2.72,0,25,3.966666666666667,0,7.5
2020-10-14,7.95,5.1,10.1,5.33,0,28.8,0.1888888888888889,0,1.1
2020-10-15,8.8,6.7,10.5,1.49,0,6.4,0.6333333333333333,0,4.3
2020-10-16,8.48,7.1,9.7,1.6,0,8.9,0.7777777777777778,0,3.5
2020-10-19,8.64,6.9,10,0,0,0,1.9666666666666666,0,6.6
2020-10-20,8.9,6.9,11.5,2.04,0,7.6,2.6222222222222222,0.1,7.2
2020-10-21,13.29,11.6,15.9,1.2,0,4.1,1.7666666666666666,0,5.6
2020-10-22,15.23,13.1,16.8,1.1199999999999999,0,5.1,3.3111111111111113,0.5,5.7
2020-10-23,13.7,11.5,14.8,4.63,0,17.2,0.8333333333333334,0.1,2.2
2020-10-26,9.95,6.6,11.3,3.03,0,16.4,0.2777777777777778,0,0.8
2020-10-27,9.3,6.6,11,0.6,0,2,1.8777777777777778,0.2,4.3
2020-10-28,10.71,9.1,12.4,3.62,0,6.5,2.2222222222222223,0,3.8
2020-10-29,10.15,9,11.1,7.99,1.9,15.5,1.8222222222222222,0,3.9
2020-10-30,12.63,10.9,14.4,4.04,0,17.7,0.08888888888888889,0,0.6
2020-11-02,17.240000000000002,16.3,18.5,2.16,0,7.2,1.2444444444444445,0.1,2.1
2020-11-03,11.17,9.5,12.6,1.02,0,7.8,3.6444444444444444,0,7.8
2020-11-04,7.52,5,9.2,0.01,0,0.1,4.311111111111111,0,8
2020-11-05,5.91,3.4,8,0,0,0,5.955555555555556,2.6,9.1
2020-11-06,6.31,1.8,10.6,0,0,0,4.2555555555555555,0,9
2020-11-09,7.04,2.8,12.6,0.03,0,0.3,3.7111111111111112,0,8.3
2020-11-10,6.25,3.9,11.8,0.01,0,0.1,2.888888888888889,0,8
2020-11-11,7.07,4.4,10.8,0.04,0,0.3,0.6,0,2.2
2020-11-12,8.37,6.1,10.3,0.56,0,2.7,2.2444444444444445,0,5.5
2020-11-13,9.09,8.2,10.3,0.11,0,0.7,4.4222222222222225,1.7,7.2
2020-11-16,10.02,9.3,11.1,0.37,0,1,1.5777777777777777,0.2,4.5
2020-11-17,10.1,8.4,11.5,0.41,0,2,1.488888888888889,0,5.6
2020-11-18,9.94,6.5,12.6,0.09,0,0.4,5.311111111111111,0,8.9
2020-11-19,8.27,6.3,9.2,1.48,0.6,3.2,0.6222222222222222,0,1.5
2020-11-20,3.88,2.9,5,0.01,0,0.1,2.8222222222222224,0.8,4.9
2020-11-23,5.93,4.5,7.3,0.18,0,0.7,3.3555555555555556,0,7
2020-11-24,4.41,2.3,6.4,0,0,0,2.9555555555555557,0,8
2020-11-25,3.13,0.2,7,0.01,0,0.1,4.555555555555555,0,8
2020-11-26,3.65,0.5,8.1,0.24,0,1,2.6,0,8.3
2020-11-27,3.02,0,7.4,0.01,0,0.1,3.6777777777777776,0,6.9
2020-11-30,-0.13,-2.9,2.4,4.98,0,13.6,2.322222222222222,0,7.8
2020-12-01,2.39,-0.3,6.4,1.78,0,7.5,0.03333333333333333,0,0.3
2020-12-02,1.04,-2.2,4.7,0.36000000000000004,0,3.2,0.8,0,6.7
2020-12-03,1,-1.4,4.1,0.75,0,3.6,0.3888888888888889,0,3.5
2020-12-04,2.64,0.2,5.8,1.29,0,7.7,1.4,0,4.6
2020-12-07,4.1899999999999995,2,7.6,0.86,0,4.1,1.0666666666666667,0,3.8
2020-12-08,3.11,0.4,5.4,0.37,0,2.2,2.388888888888889,0,6.4
2020-12-09,2.19,0.8,4.9,1.68,0,6.6,0.6777777777777777,0,4.1
2020-12-10,0.86,-0.5,2.6,0.05,0,0.5,0.7444444444444445,0,4.1
2020-12-11,1.91,-0.2,3.2,0.61,0,2.5,0.4444444444444444,0,2
2020-12-14,5.6,3,8.2,2.05,0,7.9,2.4,0,6.6
2020-12-15,6.07,3.1,8.1,2.1,0,8.7,0.2,0,1.1
2020-12-16,6.58,2.9,8.5,0,0,0,2.066666666666667,0,5.9
2020-12-17,6.05,3,9.2,0.7000000000000001,0,2.6,2.1888888888888887,0.1,6.5
2020-12-18,4.9,1.5,7.5,0,0,0,6.022222222222222,2.4,7.8
2020-12-21,5.63,3.5,7.4,5.95,1,10.1,2.033333333333333,0,5.2
2020-12-22,10.870000000000001,8.7,12.9,5.3100000000000005,0.4,16.6,0.5333333333333333,0,2
2020-12-23,9.83,4,12.6,11.17,4.3,25.1,0.011111111111111112,0,0.1
2020-12-28,2.94,0.3,4.7,1.91,0.3,4.5,0.5333333333333333,0,2.3
2020-12-29,2.53,1.5,3.6,1.15,0,5.6,1.1555555555555557,0,4.4
2021-01-04,1.09,-0.9,2.8,0.78,0,4.7,0,0,0
2021-01-05,1.41,-1.3,2.9,1.17,0,2.3,0,0,0
2021-01-06,1.1600000000000001,-1.2,2.7,2.27,0,7.8,0,0,0
2021-01-07,0.9,0,1.9,1.82,0,6.2,0.2222222222222222,0,1.4
2021-01-08,0.7,-0.1,1.8,0.71,0,2.1,0.1,0,0.8
2021-01-11,-0.7899999999999999,-6.1,3.3,3.4899999999999998,0,9.7,1.6,0,8
2021-01-12,2.18,-0.1,5,4.92,2.4,7.4,0.9,0,3.6
2021-01-13,1.67,0.5,2.7,1.56,0,3.9,1.2444444444444445,0,2.7
2021-01-14,0.72,-0.5,1.8,0.06,0,0.5,0.022222222222222223,0,0.1
2021-01-15,-0.75,-3.3,0.6,0.1,0,1,1.922222222222222,0,8.2
2021-01-18,2.02,-1.6,4.8,1.97,0,5.4,0.06666666666666667,0,0.5
2021-01-19,3.65,1.5,6.3,5.71,0,15.3,0.5555555555555556,0,4
2021-01-20,6.07,2.3,8.4,0.11000000000000001,0,1.1,1.722222222222222,0.1,6.3
2021-01-21,7.76,5.3,8.8,2.82,0,7.6,2.9555555555555557,1.5,5
2021-01-22,6.11,4.5,7.9,2.87,0,7.7,2.388888888888889,0,5.9
2021-01-25,0.019999999999999955,-2.2,1.4,2.43,0,13.5,1.4555555555555555,0,5.8
2021-01-26,0.92,-0.9,3.1,0.53,0,1.4,1.2222222222222223,0,3.6
2021-01-27,1.1300000000000001,-0.8,3.1,1.34,0.2,4.4,1.2666666666666666,0,3.8
2021-01-28,3.55,0.6,5.9,13.42,0,31.8,0.2222222222222222,0,1.5
2021-01-29,4.58,-1.1,9.1,5.24,2.3,13.7,0.8,0,2.4
2021-02-01,0.93,-3.5,5.5,1.56,0,9.6,0.8666666666666667,0,4.6
2021-02-02,4.64,-0.7,8.5,5.35,1,11.8,0.08888888888888888,0,0.7
2021-02-03,7.34,0.4,10.4,11.65,5.8,25.4,0.23333333333333334,0,0.7
2021-02-04,5.33,1,8.2,0.74,0,4.1,3.3,0,8.1
2021-02-05,4.57,-0.1,7.9,1.77,0,5.8,0.6,0,2.9
2021-02-08,-4.18,-9.6,2.9,0.8,0,2,0.5555555555555556,0,3.6
2021-02-09,-6.21,-11.4,-0.6,0.45,0,2.5,1.6111111111111112,0,6.4
2021-02-10,-6.61,-12.3,-2.4,0.98,0,6.1,2.6555555555555554,0,5.8
2021-02-11,-6.59,-9.4,-4.3,0.04,0,0.3,5.5,0,9.5
2021-02-12,-6.9399999999999995,-10.4,-4.7,0,0,0,7.588888888888889,0,9.7
2021-02-15,-1.69,-6.1,2.1,3.4,0.9,8.6,1.6222222222222222,0,4.4
2021-02-16,4.13,-0.1,7.3,1.6300000000000001,0.2,3.6,0.6,0,1.9
2021-02-17,7,4.9,9.3,0.46,0,2.1,0.9444444444444444,0.1,3.8
2021-02-18,6.89,4.9,8.4,1.23,0,3.2,4.355555555555556,0.3,8.8
2021-02-19,7.1,6.3,8.1,0.16999999999999998,0,1.7,5.511111111111111,2,7.6
2021-02-22,8.05,5.1,12.1,0,0,0,6.355555555555555,0,9.9
2021-02-23,10.52,7.3,14.5,0,0,0,6.011111111111111,2,8.6
2021-02-24,11.83,9.1,14.6,0,0,0,8.422222222222222,6.9,9.4
2021-02-25,11.43,9.5,13.8,0.55,0,3.7,8.066666666666666,5.6,9.8
2021-02-26,7.22,5,10.9,1.09,0,3.7,4.4222222222222225,0.2,8.6
2021-03-01,4.84,2.3,6.6,0.02,0,0.2,7.933333333333334,3.7,10.8
2021-03-02,5.78,3.7,8.9,0,0,0,9.3,7.1,10.7
2021-03-03,6.5,3.8,10.3,0,0,0,4.822222222222222,0,8
2021-03-04,5.89,3,9,6.15,0,24.2,1.9222222222222223,0,6.5
2021-03-05,2.09,0.7,4.1,0.38,0,3.3,6.044444444444444,0,10.5
2021-03-08,1.79,-0.6,3.7,0.61,0,4.6,6.2555555555555555,0,10.3
2021-03-09,2.24,0.7,4.8,0.64,0,2.3,3.9222222222222225,0,8.9
2021-03-10,4.73,2.4,7.4,3.56,0,17.2,2.7333333333333334,0,9.5
2021-03-11,8.35,6.3,10.1,4.82,0.9,7.5,1.6111111111111112,0.1,3.6
2021-03-12,6.77,5.9,7.5,2.46,0.1,7.7,3.3111111111111113,0.2,6.4
2021-03-15,4.66,2.8,6.1,2.99,0.7,6.1,1.6111111111111112,0.4,2.8
2021-03-16,4.27,2.5,6.1,2.39,0,6,1.3222222222222222,0.4,4.3
2021-03-17,2.66,1.3,4.7,0.98,0,2.2,1.9222222222222223,0.4,5.1
2021-03-18,2.15,0.6,3.3,1.54,0,5.5,2,0.1,5.5
2021-03-19,1.69,0,4.5,0.5700000000000001,0,1.6,4.188888888888889,0.8,8.3
2021-03-22,4.62,2.4,6.2,0.13,0,0.3,2.2777777777777777,0,10.2
2021-03-23,5.49,3.3,7.7,0.03,0,0.3,1.0333333333333334,0,3.5
2021-03-24,7.6,5.1,8.7,0,0,0,8.377777777777778,3.5,11.8
2021-03-25,8.82,7.9,10.4,0.02,0,0.2,6.844444444444444,3.6,11.3
2021-03-26,10.69,9.5,12.3,1.04,0,4.2,7.655555555555556,3.3,11
2021-03-27,7.28,5.6,8.4,1.25,0,3.2,3.8777777777777778,2.1,7.1
2021-03-29,12.73,10.5,14.4,0.01,0,0.1,8.766666666666667,3.8,11.8
2021-03-30,13.55,11.8,14.9,0,0,0,11.877777777777778,11.2,12.3
2021-03-31,14.66,13.1,16.8,0,0,0,11.911111111111111,11.6,12.3
2021-04-01,12.82,8.5,15.9,0.06,0,0.3,6.811111111111111,0.4,11.4
2021-04-06,1.06,-0.6,3.3,2.17,0,6.8,4.277777777777778,2.4,5.8
2021-04-07,1.6400000000000001,-0.2,3.1,2.5,0.3,8.5,1.5777777777777777,0.5,2.9
2021-04-08,3.62,1.9,4.9,0.030000000000000002,0,0.2,3.488888888888889,1.5,7.9
